fiscal_year,revenue_usd,source_doc,source_locator,extraction_date
FY20,143000000000,Microsoft Annual Report FY20,Annual Report FY20 - total revenue,2026-03-09
FY21,168000000000,Microsoft Annual Report FY21,Annual Report FY21 - total revenue,2026-03-09
FY22,198270000000,MSFT 10-K FY24,Consolidated Statements of Operations - Total revenue (In millions),2026-03-09
FY23,211915000000,MSFT 10-K FY24,Consolidated Statements of Operations - Total revenue (In millions),2026-03-09
FY24,245122000000,MSFT 10-K FY24,Consolidated Statements of Operations - Total revenue (In millions),2026-03-09
